TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
Utah Valley,WAC,34,25,106.9,102.2,0.6268,50.6,47.6,17.3,16.9,30.9,26.6,42.0,31.5,51.5,45.9,32.5,34.0,68.3,-3.1,,,2022
DePaul,BE,34,14,108.8,104.2,0.623,52.5,51.6,18.1,15.5,26.9,28.7,27.8,28.6,53.3,51.3,34.4,34.7,67.6,-7.4,,,2022
Florida Atlantic,Amer,34,18,112.5,107.7,0.6228,53.4,50.1,16.3,16.0,30.7,31.5,33.3,33.3,53.9,47.0,35.1,37.1,69.2,-7.8,,,2022
N.C. State,ACC,31,12,107.7,103.2,0.6223,48.3,51.0,14.4,18.6,28.8,32.5,32.3,32.2,48.3,50.8,32.2,34.3,65.5,-8.9,,,2022
Northern Colorado,BSky,35,25,112.2,107.4,0.6209,57.0,52.3,15.9,15.4,25.8,22.4,33.0,35.2,57.9,51.9,37.0,35.4,68.9,-4.1,,,2022
Middle Tennessee,CUSA,34,22,108.8,104.4,0.6163,50.9,48.9,16.6,16.0,30.7,28.7,32.4,31.2,53.3,49.8,31.5,31.5,68.6,-4.1,,,2022
Chattanooga,SC,38,29,115.2,110.6,0.6157,56.2,51.8,14.7,16.2,25.5,28.9,30.9,33.9,57.5,51.1,36.5,35.1,66.8,-4.0,,,2022
George Washington,A10,34,21,107.1,103.1,0.6074,50.6,48.7,18.6,19.2,31.5,32.5,41.0,26.2,53.2,49.4,31.3,31.8,67.4,-6.6,,,2022
Illinois St.,MVC,36,22,113.0,108.8,0.6065,56.3,53.1,15.9,16.3,24.7,25.2,31.9,31.8,57.0,53.0,37.1,35.5,66.0,-7.7,,,2022
Saint Louis,A10,34,19,109.0,105.0,0.6061,56.3,49.2,18.6,14.3,23.4,28.0,30.0,24.0,59.9,48.3,35.1,33.7,67.6,-6.5,,,2022
North Dakota St.,Sum,32,21,115.5,111.4,0.6045,58.2,51.4,15.6,11.1,26.2,29.0,32.6,27.1,56.5,51.3,39.8,34.3,65.3,-6.4,,,2022
Jacksonville St.,CUSA,36,23,108.7,104.8,0.6022,49.7,49.2,15.9,13.5,31.0,26.3,31.8,27.4,49.0,47.2,34.0,34.6,65.0,-5.5,,,2022
Belmont,MVC,33,22,112.2,108.3,0.6012,54.8,53.7,15.9,17.6,27.2,29.4,26.1,27.0,52.9,54.6,38.1,35.1,70.9,-5.0,,,2022
