TEAM,CONF,POSTSEASON,G,W,WIN_PER,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POWER,YEAR,R64,R32,S16,E8,F4,C2,Champions,games_won
Belmont,OVC,R64,31,24,0.7741935483870968,108.9,96.2,0.8064,56.5,48.0,19.6,25.0,29.7,34.2,32.8,37.0,56.9,46.7,37.2,33.5,67.4,0.1,11,0,2013,1,0,0,0,0,0,0,1
Mississippi,SEC,R32,36,27,0.75,110.0,95.6,0.834,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,70.9,1.6,12,1,2013,1,1,0,0,0,0,0,2
La Salle,A10,S16,34,24,0.7058823529411765,112.0,96.2,0.8516,51.9,49.3,17.1,21.3,29.0,34.2,31.3,28.5,49.3,50.6,37.7,30.2,66.0,0.3,13,0,2013,1,1,1,0,0,0,0,3
Harvard,Ivy,R32,29,19,0.6551724137931034,104.9,99.9,0.6362,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,64.7,-2.6,14,0,2013,1,1,0,0,0,0,0,2
Iona,MAAC,R64,34,20,0.5882352941176471,112.8,105.0,0.6956,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,71.3,-5.9,15,0,2013,1,0,0,0,0,0,0,1
Southern,SWAC,R64,30,20,0.6666666666666666,95.9,96.7,0.475,49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,46.0,40.5,36.7,30.0,65.0,-5.7,16,0,2013,1,0,0,0,0,0,0,1
Virginia,ACC,S16,37,30,0.8108108108108109,114.6,89.5,0.9449,50.8,44.2,16.5,18.4,33.9,25.8,42.0,32.5,49.0,42.1,36.9,32.3,61.2,8.2,1,1,2014,1,1,1,0,0,0,0,3
Villanova,BE,R32,34,29,0.8529411764705882,115.2,92.5,0.926,53.6,46.3,17.3,20.0,32.6,28.7,44.5,38.6,53.8,43.0,35.6,35.3,67.6,8.3,2,1,2014,1,1,0,0,0,0,0,2
Iowa St.,B12,S16,36,28,0.7777777777777778,118.6,98.8,0.8903,54.2,47.7,14.5,15.9,28.8,28.5,36.4,30.7,54.4,46.0,35.8,34.1,71.6,7.5,3,1,2014,1,1,1,0,0,0,0,3
Michigan St.,B10,E8,38,29,0.7631578947368421,119.6,95.3,0.9319,54.5,45.8,17.4,17.7,32.9,27.5,33.7,40.3,52.1,43.5,39.2,33.2,66.2,6.9,4,1,2014,1,1,1,1,0,0,0,4
Cincinnati,Amer,R64,34,27,0.7941176470588235,108.7,91.5,0.8783,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36.0,46.6,43.2,33.5,32.0,63.5,5.3,5,0,2014,1,0,0,0,0,0,0,1
North Carolina,ACC,R32,34,24,0.7058823529411765,113.4,94.7,0.8883,49.9,47.0,16.9,19.3,38.1,31.3,42.9,41.4,49.7,46.7,33.6,31.7,70.8,4.2,6,1,2014,1,1,0,0,0,0,0,2
Connecticut,Amer,Champions,40,32,0.8,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33.0,64.8,4.7,7,0,2014,1,1,1,1,1,1,1,7
Memphis,Amer,R32,33,23,0.696969696969697,112.6,97.0,0.8479,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33.0,31.0,69.5,2.8,8,0,2014,1,1,0,0,0,0,0,2
George Washington,A10,R64,33,24,0.7272727272727273,110.2,96.8,0.8151,51.5,47.2,19.0,19.6,35.1,31.4,46.6,33.4,50.2,47.4,36.4,31.2,67.2,3.2,11,0,2014,1,0,0,0,0,0,0,1
Saint Joseph's,A10,R64,34,24,0.7058823529411765,113.8,97.5,0.8546,53.9,47.8,18.7,15.3,29.5,27.8,43.6,30.6,52.3,46.0,37.9,34.2,65.9,2.1,10,0,2014,1,0,0,0,0,0,0,1
Tennessee,SEC,S16,36,23,0.6388888888888888,118.1,93.4,0.9374,49.8,46.5,16.8,16.9,39.7,27.5,41.8,31.5,50.6,44.5,31.9,34.5,63.1,0.4,11,1,2014,1,1,1,0,0,0,0,3
Harvard,Ivy,R32,31,26,0.8387096774193549,111.9,95.2,0.8641,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,49.7,44.9,38.6,32.7,65.5,2.2,12,0,2014,1,1,0,0,0,0,0,2
Delaware,CAA,R64,35,25,0.7142857142857143,110.7,106.0,0.6237,50.4,49.4,13.4,16.8,29.1,32.8,43.9,38.0,49.5,49.6,34.7,32.7,72.3,-1.4,13,0,2014,1,0,0,0,0,0,0,1
Western Michigan,MAC,R64,32,22,0.6875,104.7,102.5,0.5605,52.0,47.6,20.9,18.5,31.0,32.0,51.4,34.7,53.7,47.8,32.6,31.5,67.0,-2.9,14,0,2014,1,0,0,0,0,0,0,1
Milwaukee,Horz,R64,34,20,0.5882352941176471,104.3,103.9,0.5123,49.1,49.1,19.9,18.5,28.6,31.2,44.7,36.5,49.1,50.4,32.7,31.0,67.8,-6.1,15,0,2014,1,0,0,0,0,0,0,1
Coastal Carolina,BSth,R64,31,18,0.5806451612903226,98.3,102.0,0.3946,48.0,47.5,20.2,18.3,34.2,29.3,38.6,39.6,47.6,46.7,32.6,32.4,67.5,-7.7,16,0,2014,1,0,0,0,0,0,0,1
Florida,SEC,F4,39,36,0.9230769230769231,115.9,88.4,0.9575,52.2,45.4,17.5,21.3,35.3,28.0,42.4,31.2,51.3,43.5,35.9,33.0,63.1,11.7,1,1,2014,1,1,1,1,1,0,0,5
